time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.560396,-1.2954,-0.3629,-0.7391,1.535
4.572774,-0.4710,0.1790,0.5813,0.769
4.582038,0.1689,0.3793,0.9941,1.077
4.592794,0.8791,0.2680,1.5509,1.803
4.600500,1.0635,-0.0078,1.8241,2.111
4.618278,0.9398,-0.0229,1.0695,1.424
4.620179,0.8524,-0.0540,1.0036,1.318
4.639094,-1.4666,-0.0678,0.1940,1.481
4.640165,-1.2160,0.3572,-0.0590,1.269
4.653154,-0.9514,0.8128,0.3727,1.306
4.660522,-0.3951,0.7788,1.0377,1.356
4.673266,-0.1965,0.5506,-0.0952,0.592
4.679931,0.3306,0.2477,-0.1470,0.438
4.693009,0.6186,-0.1907,0.3877,0.755
4.700438,0.2212,-0.5148,0.0703,0.565
4.717918,-0.6813,-1.2025,-0.4397,1.450
4.719841,-0.9736,-1.1739,-0.7494,1.699
4.734861,-0.6922,-0.6513,-0.4629,1.057
4.740369,-0.0846,-0.2653,-0.6899,0.744
4.752863,1.0519,0.2165,0.0461,1.075
4.760524,1.3522,0.3278,-0.2756,1.418
4.772504,0.3159,0.1793,-0.9995,1.063
4.782428,-0.1666,-0.1004,-1.2824,1.297
4.792828,0.2343,-0.3287,-0.1546,0.432
4.800014,-0.4034,-0.2741,-0.8734,1.000
4.819495,-1.0898,-0.1221,-0.8630,1.395
4.821035,-0.8203,-0.0612,-0.6331,1.038
4.836524,-0.8633,0.1330,-0.8604,1.226
4.840687,-0.3264,0.2040,-1.1524,1.215
4.853511,0.1900,-0.1127,-0.5269,0.571
4.860661,-0.6336,-0.5339,-0.5183,0.977
4.873544,-1.3244,-0.9513,-1.0647,1.947
4.881706,-1.2541,-0.7812,-1.8489,2.367
4.893007,-0.1111,0.0664,0.5648,0.579
4.900188,0.6016,0.7519,0.7082,1.195
4.913561,1.0701,1.3109,1.4621,2.236
4.921168,0.8720,1.2240,2.0380,2.532
4.938408,0.7467,0.4244,1.6021,1.818
4.940586,0.3434,-0.3369,1.1753,1.270
4.952591,0.1473,-0.8358,-0.1574,0.863
4.960269,-0.0875,-0.8427,-0.0913,0.852
4.972895,-1.0161,-0.9941,-1.1419,1.823
4.982196,-1.1278,-0.6550,-1.8862,2.293
4.993156,-1.6516,0.4683,0.3252,1.747
5.000956,-0.3796,1.1791,0.2005,1.255
5.021070,-0.2615,1.4144,0.7227,1.610
5.022192,-0.0990,0.8747,0.7774,1.174
5.042235,-0.4712,0.0034,0.4841,0.676
5.043791,-0.0429,-0.1065,0.1448,0.185
5.052842,-0.1317,-0.1879,-0.0220,0.230
